paper_id,ambiguous_group,author_name,coauthors,title,abstract,keywords,venue,year,ground_truth_label,source_dataset
P2-1543,A. Gupta,Ajay K. Gupta,Kurt Maly; Irwin B. Levinstein; Ravi Mukkamala; Bjorn Kvande; S. Nanjangud; Margrethe H. Olson; Roy Whitney; Rita Chambers,pme privileg mangag enforc system secur distribut resourc share,,,Ifip World Conference On It Tools,1996,agupta-10,DBLP_benchmark_14
P2-2598,A. Gupta,Ajay K. Gupta,Kurt Maly; Hussein M. Abdel-Wahab; Ravi Mukkamala; Mohamed Kholief; S. Dittakavi; C. S. Vemuru; H. Syed,coprocess java base environ collabor process manag web,,,Webnet,1997,agupta-10,DBLP_benchmark_14
P2-2613,A. Gupta,Ajay K. Gupta,Kurt Maly; Bjorn Kvande; Irwin B. Levinstein; Ravi Mukkamala; S. Nanjangud; Margrethe H. Olson; Roy Whitney; Rita Chambers,privileg manag enforc system distribut resourc share,,,Wetice,1996,agupta-10,DBLP_benchmark_14
P2-2610,A. Gupta,Ajay K. Gupta,Hussein M. Abdel-Wahab; Kurt Maly; Alaa Youssef; Emilia Stoica; C. Michael Overstreet; J. Christian Wild,softwar architectur interprocess commun iri internet base interact distanc learn system,,,Wetice,1996,agupta-10,DBLP_benchmark_14
P2-2872,A. Gupta,Ajay K. Gupta,Kurt Maly; Hussein M. Abdel-Wahab; Ravi Mukkamala; A. Prabhu; H. Syed; C. S. Vemuru,mosaic xtv coreview,,,Computer Networks And Isdn Systems,1995,agupta-10,DBLP_benchmark_14
P2-3437,A. Gupta,Ajay K. Gupta,Kurt Maly; Hussein M. Abdel-Wahab; J. Christian Wild; C. Michael Overstreet; Ayman Adel Abdel Hamid; Sahar M. Ghanem; Agustin Gonzalez; Xiaoqing Zhu,iri h java base distanc educ system,,,Acm Journal Of Educational Resources In Computing,2001,agupta-10,DBLP_benchmark_14
P2-2911,A. Gupta,Ajay K. Gupta,Kurt Maly; Satish Mynam,btu host commun benchmark,,,Ieee Computer,1998,agupta-10,DBLP_benchmark_14
P2-3235,A. Gupta,Ajay K. Gupta,Kurt Maly; Hussein M. Abdel-Wahab; C. Michael Overstreet; J. Christian Wild; Alaa Youssef; Emilia Stoica; Ehab S. Al-Shaer,interact distanc learn intranet,,,Ieee Internet Computing,1997,agupta-10,DBLP_benchmark_14
P2-837,A. Gupta,Ajay K. Gupta,Kurt Maly; C. Michael Overstreet; Hussein M. Abdel-Wahab; Muthu Kumar; Rahul Srivastava,perform trade multimedia distribut applic,,,Hpn,1995,agupta-10,DBLP_benchmark_14
P2-1523,A. Gupta,Amit Gupta,Rolf Oppliger; Mark Moran; Riccardo Bettati,secur architectur tenet scheme,,,Idms,1996,agupta-11,DBLP_benchmark_14
